API模块,接口功能,接口描述,开发工作量(天),单价(元/天),费用(元)
身份认证与就诊人,微信授权登录接口,POST /api/v1/auth/wx-login - 换取小程序登录Token凭证及创建/更新基本账户,4,1000,4000
身份认证与就诊人,获取用户信息接口,GET /api/v1/user/profile - 获取当前用户详细信息,3,1000,3000
身份认证与就诊人,更新用户信息接口,PUT /api/v1/user/profile - 更新用户个人资料,3,1000,3000
身份认证与就诊人,查询患者列表接口,GET /api/v1/patients - 查询就诊患者/家庭成员列表,3,1000,3000
身份认证与就诊人,创建患者接口,POST /api/v1/patients - 绑定并创建新的就诊家庭成员,4,1000,4000
身份认证与就诊人,删除患者接口,DELETE /api/v1/patients/{id} - 解绑/删除就诊家庭成员,2,1000,2000
门店与医生预约挂号,查询门店列表接口,GET /api/v1/stores - 查询服务门店列表（定位排序与距离计算）,4,1000,4000
门店与医生预约挂号,查询门店医生接口,GET /api/v1/stores/{storeId}/doctors - 查询特定门店的坐诊医生列表,3,1000,3000
门店与医生预约挂号,查询可预约日期接口,GET /api/v1/schedules/available-dates - 查询医生的可预约日期列表,3,1000,3000
门店与医生预约挂号,查询号源时段接口,GET /api/v1/schedules/slots - 查询特定排班日期下的预约号源时段,4,1000,4000
门店与医生预约挂号,提交预约接口,POST /api/v1/appointments - 提交就诊预约挂号申请,5,1000,5000
门店与医生预约挂号,取消预约接口,POST /api/v1/appointments/{id}/cancel - 取消就诊预约记录,3,1000,3000
门店与医生预约挂号,改约接口,POST /api/v1/appointments/{id}/reschedule - 预约改约修改号段,4,1000,4000
门店与医生预约挂号,查询预约列表接口,GET /api/v1/appointments - 获取当前用户的历史预约挂号记录,3,1000,3000
睡眠评估与AI鼾声分析,提交ESS问卷接口,POST /api/v1/assessments/ess - 提交ESS嗜睡自测量表答卷,4,1000,4000
睡眠评估与AI鼾声分析,鼾声录音分析接口,POST /api/v1/assessments/snore-analyze - 上传鼾声录音做AI呼吸暂停事件分析,5,1000,5000
睡眠评估与AI鼾声分析,查询评估历史接口,GET /api/v1/assessments/history - 查询个人历史睡眠/鼾声自测诊断报告,3,1000,3000
阻鼾器配戴与治疗追踪,获取治疗档案接口,GET /api/v1/treatment/current - 获取当前患者的阻鼾器治疗建档概要,4,1000,4000
阻鼾器配戴与治疗追踪,每日打卡接口,POST /api/v1/treatment/checkin - 每日配戴时长与舒适度打卡记录,4,1000,4000
阻鼾器配戴与治疗追踪,获取配戴统计接口,GET /api/v1/treatment/wearing-summary - 获取配戴依从率及舒适度折线走势图,4,1000,4000
阻鼾器配戴与治疗追踪,获取睡眠报告接口,GET /api/v1/treatment/sleep-report - 获取周期性睡眠健康报告（同类比对与医嘱总结）,4,1000,4000
阻鼾器配戴与治疗追踪,获取时间线接口,GET /api/v1/treatment/timeline - 获取阻鼾器治疗关联的时间线动态事件,3,1000,3000
商城购物与订单交易,查询商品列表接口,GET /api/v1/products - 获取商城可销售的商品列表,4,1000,4000
商城购物与订单交易,查询商品详情接口,GET /api/v1/products/{id} - 获取商品规格与详情信息,3,1000,3000
商城购物与订单交易,提交订单接口,POST /api/v1/orders - 提交商品购物车结算订单并调用微信预支付接口,6,1000,6000
商城购物与订单交易,查询订单列表接口,GET /api/v1/orders - 查询个人历史商城订单列表,3,1000,3000
商城购物与订单交易,查询订单详情接口,GET /api/v1/orders/{id} - 查询特定商城订单明细,3,1000,3000
商城购物与订单交易,取消订单接口,POST /api/v1/orders/{id}/cancel - 取消待付款的商城订单,3,1000,3000
分销裂变与提现,获取邀请信息接口,GET /api/v1/distribution/invite-info - 获取推广员分销资格及专属裂变码海报,4,1000,4000
分销裂变与提现,查询分销订单接口,GET /api/v1/distribution/orders - 查询分销提成收益明细及累计推广订单,4,1000,4000
分销裂变与提现,查询团队接口,GET /api/v1/distribution/team - 查询推广团下线成员结构,4,1000,4000
分销裂变与提现,提交提现申请接口,POST /api/v1/distribution/withdraw - 提交佣金提现申请（微信零钱/银行卡）,5,1000,5000
分销裂变与提现,查询提现记录接口,GET /api/v1/distribution/withdraw-records - 查询提现打款历史记录,3,1000,3000
直播展示与社区互动,查询直播间列表接口,GET /api/v1/live/rooms - 查询科普/义诊直播间列表（含预告及精彩回放点播）,4,1000,4000
直播展示与社区互动,查询帖子列表接口,GET /api/v1/community/posts - 查询社区论坛帖子列表（最新、热门、专家贴筛选）,4,1000,4000
直播展示与社区互动,查询帖子详情接口,GET /api/v1/community/posts/{id} - 浏览社区发帖正文及评论回复区,4,1000,4000
直播展示与社区互动,发表帖子接口,POST /api/v1/community/posts - 发表个人阻鼾/打鼾改善日常讨论帖子,4,1000,4000
直播展示与社区互动,发表评论接口,POST /api/v1/community/posts/{postId}/comments - 在帖子内发表评论/回复他人评论,3,1000,3000
系统通知与广告,获取Banner接口,GET /api/v1/system/banners - 获取主页及商城的活动轮播Banner广告位,3,1000,3000
系统通知与广告,查询通知列表接口,GET /api/v1/system/notifications - 查询用户收到的系统通知与订阅消息历史列表,3,1000,3000
系统通知与广告,标记已读接口,PUT /api/v1/system/notifications/{id}/read - 将系统消息/通知标记为已读,2,1000,2000
合计,,微信小程序端API总计（8个模块，43个接口）,140,1000,140000