功能模块,子功能/页面,子功能/页面描述,开发工作量(天),单价(元/天),费用(元)
首页,首页(index),小程序首页综合展示，整合预约入口、评估入口、商城入口、直播入口等核心功能,5,1000,5000
身份认证,登录页(auth/login),微信授权快捷登录页面，获取用户OpenID并创建账户,3,1000,3000
预约挂号,预约首页(appointment/index),预约挂号主入口页面，展示预约流程导航,3,1000,3000
预约挂号,门店选择(appointment/store-select),服务门店列表展示，支持定位排序与距离计算,3,1000,3000
预约挂号,医生详情(appointment/doctor-detail),医生信息展示，包含职称、专科方向、经验、评分等,3,1000,3000
预约挂号,时间选择(appointment/time-select),医生排班号源时段选择，展示可预约时段,4,1000,4000
预约挂号,预约确认(appointment/confirm),确认预约信息，选择就诊患者，提交预约申请,3,1000,3000
预约挂号,预约成功(appointment/success),预约成功页面，展示预约号和就诊提醒,2,1000,2000
预约挂号,预约详情(appointment/detail),查看预约详情及状态变更记录,3,1000,3000
预约挂号,改约(appointment/reschedule),预约改约，重新选择就诊时间,3,1000,3000
睡眠评估,评估首页(assessment/index),睡眠评估入口及类型选择（ESS量表/鼾声录音）,3,1000,3000
睡眠评估,ESS问卷(assessment/questionnaire/index),ESS嗜睡自测量表答题页面，共8道题目,4,1000,4000
睡眠评估,鼾声录音(assessment/recording/index),AI鼾声录音分析上传页面，支持录音和上传,4,1000,4000
睡眠评估,评估结果(assessment/result/index),ESS评估结果展示页面，显示得分和风险等级,3,1000,3000
睡眠评估,鼾声结果(assessment/snore-result/index),AI鼾声分析结果展示页面，显示分贝、暂停事件等,4,1000,4000
治疗追踪,治疗首页(treatment/index),阻鼾器治疗追踪主页面，展示治疗进度概览,3,1000,3000
治疗追踪,睡眠趋势(treatment/sleep-trend/index),睡眠趋势图表展示，使用折线图展示佩戴时长变化,4,1000,4000
治疗追踪,睡眠报告(treatment/sleep-report/index),周期性睡眠健康报告，含同类比对与医嘱总结,4,1000,4000
治疗追踪,时间线(treatment/timeline/index),治疗时间线动态事件展示，记录治疗关键节点,3,1000,3000
治疗追踪,调整详情(treatment/adjust-detail/index),阻鼾器参数调整记录详情，展示调整历史,3,1000,3000
治疗追踪,医生建议(treatment/doctor-advice/index),医生医嘱及健康指引展示,3,1000,3000
商城购物,商品列表(product/index),商城商品列表展示，支持分类筛选和搜索,4,1000,4000
商城购物,商品详情(product/detail/index),商品规格、价格、详情信息展示，支持加入购物车,4,1000,4000
商城购物,订单列表(order/index),个人历史商城订单列表，支持状态筛选,3,1000,3000
商城购物,订单详情(order/detail),订单明细、价格组成、物流信息展示,3,1000,3000
分销中心,分销首页(distribution/center/index),推广员分销资格及中心入口，展示佣金概览,4,1000,4000
分销中心,邀请海报(distribution/invite/index),专属裂变码海报生成及分享功能,3,1000,3000
分销中心,佣金明细(distribution/commission/index),分销提成收益明细查询，按时间筛选,3,1000,3000
分销中心,团队管理(distribution/team/index),推广团下线成员结构展示，显示一级/二级成员,4,1000,4000
分销中心,分销商品(distribution/products/index),参与分销的商品列表，显示佣金比例,3,1000,3000
分销中心,分销规则(distribution/rules/index),分销规则说明页面，展示等级和佣金比例,2,1000,2000
分销中心,提现申请(distribution/withdraw/index),佣金提现申请，支持微信零钱和银行卡,4,1000,4000
分销中心,提现记录(distribution/withdraw-records/index),提现打款历史记录查询,3,1000,3000
直播社区,直播列表(live/list/index),科普/义诊直播间列表，含预告及精彩回放,4,1000,4000
直播社区,直播回放(live/playback/index),直播视频回放点播页面,3,1000,3000
直播社区,社区首页(community/index),社区论坛帖子列表，支持最新/热门/专家贴筛选,4,1000,4000
直播社区,帖子详情(community/detail/index),帖子正文及评论回复区，支持点赞评论,4,1000,4000
直播社区,发帖(community/publish/index),发表阻鼾/打鼾改善日常讨论帖子，支持图片上传,4,1000,4000
个人中心,个人中心首页(profile/index),用户个人信息展示，功能入口聚合,4,1000,4000
个人中心,家庭成员管理(profile/family-members/index),就诊患者/家庭成员列表及增删改操作,4,1000,4000
个人中心,添加成员(profile/family-members/add-member/index),绑定新的就诊家庭成员表单,3,1000,3000
个人中心,设备管理(profile/device-manage/index),阻鼾器设备管理首页，展示设备状态,3,1000,3000
个人中心,佩戴数据(profile/device-manage/wearing-data/index),设备佩戴时长数据展示，统计分析,3,1000,3000
个人中心,设备维护(profile/device-manage/maintenance/index),设备维护保养记录，提醒维护时间,2,1000,2000
个人中心,意见反馈(profile/device-manage/feedback/index),设备使用意见反馈表单,2,1000,2000
个人中心,病历管理(profile/medical-records/index),个人电子病历查看，就诊历史记录,3,1000,3000
个人中心,会员权益(profile/member-benefits/index),会员等级、积分、优惠权益展示,3,1000,3000
个人中心,系统通知(profile/notifications/index),系统通知与订阅消息列表，支持标记已读,3,1000,3000
个人中心,在线客服(profile/online-service/index),在线客服咨询入口，跳转客服对话,2,1000,2000
个人中心,设置(profile/settings/index),账户设置主页面，包含各项设置入口,2,1000,2000
个人中心,账号安全(profile/settings/account-security/index),账号安全设置，密码修改、绑定手机号等,3,1000,3000
个人中心,个人信息(profile/settings/personal-info/index),用户基本信息编辑，昵称、头像、性别等,3,1000,3000
合计,,微信小程序端总计（9个功能模块，52个页面）,161,1000,161000